file,visibility,visibility_fraction
docs/conf.py,1,0.028571
examples/celery/make_celery.py,26,0.742857
examples/celery/src/task_app/__init__.py,25,0.714286
examples/celery/src/task_app/tasks.py,1,0.028571
examples/celery/src/task_app/views.py,25,0.714286
examples/javascript/js_example/__init__.py,24,0.685714
examples/javascript/js_example/views.py,24,0.685714
examples/tutorial/flaskr/__init__.py,26,0.742857
examples/tutorial/flaskr/auth.py,24,0.685714
examples/tutorial/flaskr/blog.py,25,0.714286
examples/tutorial/flaskr/db.py,23,0.657143
src/flask/__init__.py,22,0.628571
src/flask/__main__.py,23,0.657143
src/flask/app.py,22,0.628571
src/flask/blueprints.py,22,0.628571
src/flask/cli.py,22,0.628571
src/flask/config.py,22,0.628571
src/flask/ctx.py,22,0.628571
src/flask/debughelpers.py,22,0.628571
src/flask/globals.py,22,0.628571
src/flask/helpers.py,22,0.628571
src/flask/logging.py,22,0.628571
src/flask/sessions.py,22,0.628571
src/flask/signals.py,1,0.028571
src/flask/templating.py,22,0.628571
src/flask/testing.py,22,0.628571
src/flask/typing.py,1,0.028571
src/flask/views.py,23,0.657143
src/flask/wrappers.py,22,0.628571
src/flask/json/__init__.py,22,0.628571
src/flask/json/provider.py,22,0.628571
src/flask/json/tag.py,22,0.628571
src/flask/sansio/app.py,22,0.628571
src/flask/sansio/blueprints.py,22,0.628571
src/flask/sansio/scaffold.py,22,0.628571
