file,visibility,visibility_fraction
setup.py,1,0.045455
docs/conf.py,19,0.863636
docs/_themes/flask_theme_support.py,1,0.045455
src/requests/__init__.py,18,0.818182
src/requests/__version__.py,1,0.045455
src/requests/_internal_utils.py,2,0.090909
src/requests/_types.py,18,0.818182
src/requests/adapters.py,18,0.818182
src/requests/api.py,18,0.818182
src/requests/auth.py,18,0.818182
src/requests/certs.py,1,0.045455
src/requests/compat.py,1,0.045455
src/requests/cookies.py,18,0.818182
src/requests/exceptions.py,18,0.818182
src/requests/help.py,19,0.863636
src/requests/hooks.py,18,0.818182
src/requests/models.py,18,0.818182
src/requests/packages.py,2,0.090909
src/requests/sessions.py,18,0.818182
src/requests/status_codes.py,3,0.136364
src/requests/structures.py,2,0.090909
src/requests/utils.py,18,0.818182
